Year,Nepalese Month,Western Timeline,Y-o-Y Inflation Rate (%)
2013,Srawan,Mid-Jul to Mid-Aug,7.99
2013,Bhadra,Mid-Aug to Mid-Sep,8.1
2013,Ashoj,Mid-Sep to Mid-Oct,8.32
2013,Kattik,Mid-Oct to Mid-Nov,9.4
2013,Mangsir,Mid-Nov to Mid-Dec,10.12
2013,Poush,Mid-Dec to Mid-Jan,9.8
2014,Magh,Mid-Jan to Mid-Feb,8.81
2014,Fagun,Mid-Feb to Mid-Mar,8.9
2014,Chaitra,Mid-Mar to Mid-Apr,9.44
2014,Baishakh,Mid-Apr to Mid-May,9.25
2014,Jestha,Mid-May to Mid-Jun,9.17
2014,Asar,Mid-Jun to Mid-Jul,9.3
2014,Srawan,Mid-Jul to Mid-Aug,7.9
2014,Bhadra,Mid-Aug to Mid-Sep,7.63
2014,Ashoj,Mid-Sep to Mid-Oct,7.5
2014,Kattik,Mid-Oct to Mid-Nov,7.31
2014,Mangsir,Mid-Nov to Mid-Dec,7.12
2014,Poush,Mid-Dec to Mid-Jan,6.9
2015,Magh,Mid-Jan to Mid-Feb,7.03
2015,Fagun,Mid-Feb to Mid-Mar,6.95
2015,Chaitra,Mid-Mar to Mid-Apr,6.9
2015,Baishakh,Mid-Apr to Mid-May,7.1
2015,Jestha,Mid-May to Mid-Jun,7.42
2015,Asar,Mid-Jun to Mid-Jul,7.6
2015,Srawan,Mid-Jul to Mid-Aug,6.9
2015,Bhadra,Mid-Aug to Mid-Sep,7.2
2015,Ashoj,Mid-Sep to Mid-Oct,8.21
2015,Kattik,Mid-Oct to Mid-Nov,10.4
2015,Mangsir,Mid-Nov to Mid-Dec,11.6
2015,Poush,Mid-Dec to Mid-Jan,12.1
2016,Magh,Mid-Jan to Mid-Feb,11.3
2016,Fagun,Mid-Feb to Mid-Mar,10.24
2016,Chaitra,Mid-Mar to Mid-Apr,9.7
2016,Baishakh,Mid-Apr to Mid-May,10
2016,Jestha,Mid-May to Mid-Jun,11.1
2016,Asar,Mid-Jun to Mid-Jul,10.4
2016,Srawan,Mid-Jul to Mid-Aug,8.6
2016,Bhadra,Mid-Aug to Mid-Sep,7.9
2016,Ashoj,Mid-Sep to Mid-Oct,6.7
2016,Kattik,Mid-Oct to Mid-Nov,4.8
2016,Mangsir,Mid-Nov to Mid-Dec,3.8
2016,Poush,Mid-Dec to Mid-Jan,3.7
2017,Magh,Mid-Jan to Mid-Feb,3.3
2017,Fagun,Mid-Feb to Mid-Mar,2.9
2017,Chaitra,Mid-Mar to Mid-Apr,3.8
2017,Baishakh,Mid-Apr to Mid-May,4.7
2017,Jestha,Mid-May to Mid-Jun,4.4
2017,Asar,Mid-Jun to Mid-Jul,4.5
2017,Srawan,Mid-Jul to Mid-Aug,2.3
2017,Bhadra,Mid-Aug to Mid-Sep,3.4
2017,Ashoj,Mid-Sep to Mid-Oct,4.23
2017,Kattik,Mid-Oct to Mid-Nov,3.9
2017,Mangsir,Mid-Nov to Mid-Dec,4.2
2017,Poush,Mid-Dec to Mid-Jan,4
2018,Magh,Mid-Jan to Mid-Feb,5
2018,Fagun,Mid-Feb to Mid-Mar,6
2018,Chaitra,Mid-Mar to Mid-Apr,5.32
2018,Baishakh,Mid-Apr to Mid-May,4.1
2018,Jestha,Mid-May to Mid-Jun,4.1
2018,Asar,Mid-Jun to Mid-Jul,4.6
2018,Srawan,Mid-Jul to Mid-Aug,4.6
2018,Bhadra,Mid-Aug to Mid-Sep,3.9
2018,Ashoj,Mid-Sep to Mid-Oct,4
2018,Kattik,Mid-Oct to Mid-Nov,4.2
2018,Mangsir,Mid-Nov to Mid-Dec,3.7
2018,Poush,Mid-Dec to Mid-Jan,4.6
2019,Magh,Mid-Jan to Mid-Feb,4.4
2019,Fagun,Mid-Feb to Mid-Mar,4.2
2019,Chaitra,Mid-Mar to Mid-Apr,4.44
2019,Baishakh,Mid-Apr to Mid-May,5.3
2019,Jestha,Mid-May to Mid-Jun,6.2
2019,Asar,Mid-Jun to Mid-Jul,6
2019,Srawan,Mid-Jul to Mid-Aug,6.95
2019,Bhadra,Mid-Aug to Mid-Sep,6.16
2019,Ashoj,Mid-Sep to Mid-Oct,6.21
2019,Kattik,Mid-Oct to Mid-Nov,5.76
2019,Mangsir,Mid-Nov to Mid-Dec,6.55
2019,Poush,Mid-Dec to Mid-Jan,6.82
2020,Magh,Mid-Jan to Mid-Feb,6.87
2020,Fagun,Mid-Feb to Mid-Mar,6.7
2020,Chaitra,Mid-Mar to Mid-Apr,6.74
2020,Baishakh,Mid-Apr to Mid-May,5.83
2020,Jestha,Mid-May to Mid-Jun,4.54
2020,Asar,Mid-Jun to Mid-Jul,4.78
2020,Srawan,Mid-Jul to Mid-Aug,3.49
2020,Bhadra,Mid-Aug to Mid-Sep,4.52
2020,Ashoj,Mid-Sep to Mid-Oct,3.79
2020,Kattik,Mid-Oct to Mid-Nov,4.05
2020,Mangsir,Mid-Nov to Mid-Dec,5.29
2020,Poush,Mid-Dec to Mid-Jan,3.56
2021,Magh,Mid-Jan to Mid-Feb,2.7
2021,Fagun,Mid-Feb to Mid-Mar,3.03
2021,Chaitra,Mid-Mar to Mid-Apr,3.1
2021,Baishakh,Mid-Apr to Mid-May,3.65
2021,Jestha,Mid-May to Mid-Jun,4.19
2021,Asar,Mid-Jun to Mid-Jul,3.6
2021,Srawan,Mid-Jul to Mid-Aug,4.35
2021,Bhadra,Mid-Aug to Mid-Sep,3.49
2021,Ashoj,Mid-Sep to Mid-Oct,4.24
2021,Kattik,Mid-Oct to Mid-Nov,5.32
2021,Mangsir,Mid-Nov to Mid-Dec,7.11
2021,Poush,Mid-Dec to Mid-Jan,5.65
2022,Magh,Mid-Jan to Mid-Feb,6.24
2022,Fagun,Mid-Feb to Mid-Mar,7.14
2022,Chaitra,Mid-Mar to Mid-Apr,7.28
2022,Baishakh,Mid-Apr to Mid-May,7.87
2022,Jestha,Mid-May to Mid-Jun,8.56
2022,Asar,Mid-Jun to Mid-Jul,8.08
2022,Srawan,Mid-Jul to Mid-Aug,8.26
2022,Bhadra,Mid-Aug to Mid-Sep,8.64
2022,Ashoj,Mid-Sep to Mid-Oct,8.5
2022,Kattik,Mid-Oct to Mid-Nov,8.08
2022,Mangsir,Mid-Nov to Mid-Dec,7.38
2022,Poush,Mid-Dec to Mid-Jan,7.26
2023,Magh,Mid-Jan to Mid-Feb,7.88
2023,Fagun,Mid-Feb to Mid-Mar,7.44
2023,Chaitra,Mid-Mar to Mid-Apr,7.76
2023,Baishakh,Mid-Apr to Mid-May,7.41
2023,Jestha,Mid-May to Mid-Jun,6.83
2023,Asar,Mid-Jun to Mid-Jul,7.44
2023,Srawan,Mid-Jul to Mid-Aug,7.52
