Date,Price,Open,High,Low,Vol.,Change %
5/1/2026,152.01,151.865,155.145,150.535,,0.10%
4/1/2026,151.865,151.735,152.535,147.855,,0.09%
3/1/2026,151.735,146.01,152.355,145.955,,4.24%
2/1/2026,145.57,146.825,146.93,144.08,,-1.09%
1/1/2026,147.18,143.93,147.19,143.59,,2.35%
12/1/2025,143.8,143.11,145.73,142.81,,0.46%
11/1/2025,143.14,142.04,143.19,141.465,,0.78%
10/1/2025,142.03,142.05,142.09,140.31,,-0.03%
9/1/2025,142.07,141.19,142.09,140.36,,0.67%
8/1/2025,141.12,140.17,141.3,139.08,,0.68%
7/1/2025,140.16,136.985,140.39,136.31,,2.15%
6/1/2025,137.215,136.84,139.035,136.49,,0.21%
5/1/2025,136.93,135.19,137.77,134.04,,1.29%
4/1/2025,135.19,136.76,138.745,135.19,,-1.15%
3/1/2025,136.76,139.775,139.85,136.645,,-2.31%
2/1/2025,140,139.26,140.725,138.345,,1.03%
1/1/2025,138.575,137,138.65,137,,1.16%
12/1/2024,136.98,135.345,137.3,135.32,,1.34%
11/1/2024,135.17,134.53,135.215,134.505,,0.48%
10/1/2024,134.52,134.095,134.56,134.07,,0.34%
9/1/2024,134.07,134.2,134.39,133.505,,-0.08%
8/1/2024,134.18,133.88,134.36,133.84,,0.17%
7/1/2024,133.95,133.415,134,133.405,,0.40%
6/1/2024,133.41,132.785,133.87,132.725,,-0.10%
5/1/2024,133.54,133.465,133.655,132.85,,0.04%
4/1/2024,133.48,133.4,133.73,133.05,,0.03%
3/1/2024,133.44,132.59,133.53,132.23,,0.59%
2/1/2024,132.66,132.83,132.99,132.525,,-0.16%
1/1/2024,132.87,133.185,133.365,132.44,,-0.20%
12/1/2023,133.13,133.215,133.455,132.655,,-0.22%
11/1/2023,133.43,133.23,133.48,132.825,,0.17%
10/1/2023,133.2,133.145,133.255,132.87,,0.26%
9/1/2023,132.86,132.125,133.245,132.125,,0.30%
8/1/2023,132.46,131.695,133.065,131.61,,0.66%
7/1/2023,131.59,131.21,132.42,130.67,,0.25%
6/1/2023,131.26,131.95,132.295,130.98,,-0.83%
5/1/2023,132.36,130.81,132.565,130.65,,1.10%
4/1/2023,130.92,131.93,131.935,130.585,,-0.41%
3/1/2023,131.46,131.985,132.485,130.61,,-0.60%
2/1/2023,132.26,130.84,132.72,130.695,,0.91%
1/1/2023,131.07,132.265,132.71,129.415,,-0.97%
12/1/2022,132.35,129.72,132.685,129.575,,1.59%
11/1/2022,130.28,132.375,132.68,128.83,,-1.64%
10/1/2022,132.45,130.6,133.23,130.175,,1.78%
9/1/2022,130.14,127.25,131.125,126.45,,2.38%
8/1/2022,127.12,126.695,128.2,125.59,,0.25%
7/1/2022,126.8,126.375,128.09,126.195,,0.36%
6/1/2022,126.35,124.135,126.38,123.945,,1.71%
5/1/2022,124.22,122.41,124.475,121.59,,1.59%
4/1/2022,122.28,121.24,122.825,120.505,,0.84%
3/1/2022,121.26,121.225,123.16,120.91,,0.60%
2/1/2022,120.54,119.15,121.21,118.97,,0.97%
1/1/2022,119.38,118.96,120.49,118.045,,0.38%
12/1/2021,118.93,119.935,122.11,118.555,,-1.11%
11/1/2021,120.26,120.01,120.31,118.16,,0.38%
10/1/2021,119.8,118.91,121.07,118.585,,0.88%
9/1/2021,118.76,116.87,118.975,116.68,,1.68%
8/1/2021,116.8,119.015,119.175,116.795,,-1.90%
7/1/2021,119.06,119.01,119.93,118.77,,0.12%
6/1/2021,118.92,116.07,119.115,116.05,,2.36%
5/1/2021,116.18,118.825,118.915,115.705,,-1.96%
4/1/2021,118.5,117.49,120.52,117.135,,1.31%
3/1/2021,116.97,117.97,117.97,115.64,,-0.48%
2/1/2021,117.54,116.625,117.61,115.625,,0.70%
1/1/2021,116.72,116.96,117.61,116.455,,-0.15%
12/1/2020,116.9,118.33,118.345,116.815,,-1.33%
11/1/2020,118.48,119.065,119.8,118.01,,-0.07%
10/1/2020,118.56,117.75,118.655,116.85,,0.46%
9/1/2020,118.02,117.16,118.345,116.41,,0.20%
8/1/2020,117.78,119.84,120.28,117.19,,-1.60%
7/1/2020,119.7,120.825,120.97,119.24,,-0.91%
6/1/2020,120.8,120.56,122.07,120.04,,-0.15%
5/1/2020,120.98,121.19,121.545,120.425,,0.67%
4/1/2020,120.18,121.545,123.055,119.895,,-0.73%
3/1/2020,121.06,115.505,122.095,115.27,,4.77%
2/1/2020,115.55,114.65,115.64,113.75,,1.24%
1/1/2020,114.14,114.185,115.385,113.175,,-0.06%
12/1/2019,114.21,114.855,114.905,112.825,,-0.50%
11/1/2019,114.78,113.575,115.59,112.89,,1.15%
10/1/2019,113.47,113.175,114.735,113.095,,0.07%
9/1/2019,113.39,115.135,115.85,112.57,,-0.74%
8/1/2019,114.24,110.68,115.61,110.425,,3.80%
7/1/2019,110.06,110.25,110.615,109.27,,-0.33%
6/1/2019,110.42,111.21,111.905,110.2,,-0.95%
5/1/2019,111.48,111.385,112.855,110.73,,0.16%
4/1/2019,111.3,110.84,112.44,109.415,,0.60%
3/1/2019,110.64,113.19,113.585,109.36,,-2.22%
2/1/2019,113.15,113.77,114.915,112.64,,-0.50%
1/1/2019,113.72,111.4,114.44,110.785,,1.87%
12/1/2018,111.63,111.8,115.95,111.465,,0.26%
11/1/2018,111.34,118.2,118.2,111.305,,-5.90%
10/1/2018,118.32,116.17,119.175,116.17,,2.03%
9/1/2018,115.97,113.29,116.775,113.16,,2.10%
8/1/2018,113.58,109.69,113.595,109.225,,3.57%
7/1/2018,109.66,109.585,110.605,109.24,,0.11%
6/1/2018,109.54,107.93,110.55,106.95,,1.57%
5/1/2018,107.85,106.81,109.515,106.44,,1.12%
4/1/2018,106.66,104.135,107.06,103.755,,2.29%
3/1/2018,104.27,104.33,104.47,103.565,,-0.02%
2/1/2018,104.29,101.83,104.5,101.69,,2.52%
1/1/2018,101.73,102.17,102.575,101.19,,-0.45%
12/1/2017,102.19,103.29,103.59,102.055,,-0.92%
11/1/2017,103.14,103.53,104.86,102.84,,-0.43%
10/1/2017,103.59,104.95,105.02,103.505,,-0.82%
9/1/2017,104.45,102.28,105.43,102.045,,2.20%
8/1/2017,102.2,102.57,102.925,101.705,,-0.48%
7/1/2017,102.69,103.83,103.995,102.475,,-0.59%
