"","Date","DAP","Urea","inflation_rate","oil_price","exchange_rate"
"1",2013-07-01,"409.625","312.5",7.99,107.933181818182,96.15
"2",2013-08-01,"400.375","310.625",8.1,111.280454545455,104.63
"3",2013-09-01,"374.8","301",8.32,111.5965,99.67
"4",2013-10-01,"370","296.875",9.4,109.07652173913,97.91
"5",2013-11-01,"334.375","305",10.12,107.792,99.41
"6",2013-12-01,"341.625","305",9.8,110.756666666667,98.39
"7",2014-01-01,"403.375","330",8.81,108.117727272727,99.8
"8",2014-02-01,"450.125","353.125",8.9,108.900526315789,98.8
"9",2014-03-01,"486.5","327.5",9.44,107.480952380952,95.36
"10",2014-04-01,"409","260",9.25,107.755238095238,96.01
"11",2014-05-01,"413.5625","265",9.17,109.539090909091,94.07
"12",2014-06-01,"421.375","288.75",9.3,111.795238095238,95.78
"13",2014-07-01,"440.625","305",7.9,106.768181818182,96.39
"14",2014-08-01,"446.5","311.25",7.63,101.608095238095,96.3
"15",2014-09-01,"438.1","317.5",7.5,97.0914285714286,98.79
"16",2014-10-01,"418.75","317.5",7.31,87.4252173913043,97.69
"17",2014-11-01,"408.75","317.5",7.12,79.4378947368421,99.24
"18",2014-12-01,"418.375","308.125",6.9,62.335,100.36
"19",2015-01-01,"440.25","305",7.03,47.7595,98.98
"20",2015-02-01,"444.125","305",6.95,58.0955,98.93
"21",2015-03-01,"428.8","295.5",6.9,55.8854545454545,99.99
"22",2015-04-01,"409","260",7.1,59.5242857142857,100.98
"23",2015-05-01,"413.5625","265",7.42,64.075,101.61
"24",2015-06-01,"421.375","288.75",7.6,61.4777272727273,101.8
"25",2015-07-01,"431.5","283.75",6.9,56.5613043478261,102.12
"26",2015-08-01,"434.625","274.625",7.2,46.515,105.87
"27",2015-09-01,"428","279.375",8.21,47.6231818181818,104.93
"28",2015-10-01,"423.75","250.625",10.4,48.43,104.4
"29",2015-11-01,"383.875","263.625",11.6,44.267619047619,106.67
"30",2015-12-01,"340.625","264",12.1,38.0054545454545,105.84
"31",2016-01-01,"327.125","233.875",11.3,30.6995,108.3
"32",2016-02-01,"326","191.875",10.24,32.1815,109.5
"33",2016-03-01,"338.125","201.75",9.7,38.2104545454545,105.8
"34",2016-04-01,"330.5","196.25",10,41.5833333333333,106.2
"35",2016-05-01,"313.5","198.375",11.1,46.742380952381,107.4
"36",2016-06-01,"306.625","142.625",10.4,48.2472727272727,108.1
"37",2016-07-01,"305.2","181",8.6,44.9519047619048,107.5
"38",2016-08-01,"318.0625","186.25",7.9,45.8430434782609,107.36
"39",2016-09-01,"320","187.3",6.7,46.5677272727273,106.47
"40",2016-10-01,"310","187.5",4.8,49.5223809523809,106.5
"41",2016-11-01,"298","205",3.8,44.7340909090909,109.75
"42",2016-12-01,"296.625","217.75",3.7,53.3085,108.73
"43",2017-01-01,"308","233.75",3.3,54.5766666666667,108.3
"44",2017-02-01,"326","191.875",2.9,54.8695,107.1
"45",2017-03-01,"325.625","223.5",3.8,51.5891304347826,103.8
"46",2017-04-01,"313.125","207.875",4.7,52.3078947368421,103.1
"47",2017-05-01,"309.25","178.75",4.4,50.3265217391304,103.5
"48",2017-06-01,"310.3","191",4.5,46.3681818181818,103.3
"49",2017-07-01,"313.75","181",2.3,48.4785714285714,102.69
"50",2017-08-01,"320.75","192.625",3.4,51.704347826087,102.2
"51",2017-09-01,"325.89999999999998","219",4.23,56.1528571428571,104.45
"52",2017-10-01,"322.375","252.5",3.9,57.5077272727273,103.59
"53",2017-11-01,"344","280",4.2,62.7140909090909,103.14
"54",2017-12-01,"357.25","214.625",4,64.3736842105263,102.19
"55",2018-01-01,"360.375","219.625",5,69.0772727272727,101.73
"56",2018-02-01,"370","232.5",6,65.3175,104.29
"57",2018-03-01,"378","232.5",5.32,66.0166666666667,104.27
"58",2018-04-01,"384.75","230.625",4.1,72.106,106.66
"59",2018-05-01,"384.375","221.875",4.1,76.9752380952381,107.85
"60",2018-06-01,"391.6","224",4.6,74.4047619047619,109.54
"61",2018-07-01,"400.75","252.5",4.6,74.2540909090909,109.66
"62",2018-08-01,"409","260",3.9,72.5282608695652,113.58
"63",2018-09-01,"421.63","267.5",4,78.891,115.97
"64",2018-10-01,"420.75","270",4.2,81.0321739130435,118.32
"65",2018-11-01,"410.2","305.60000000000002",3.7,64.7481818181818,111.34
"66",2018-12-01,"389.67","276.67",4.6,57.3623529411765,111.63
"67",2019-01-01,"382.13","260",4.4,59.4095454545455,113.72
"68",2019-02-01,"357.38","250.63",4.2,63.9605,113.15
"69",2019-03-01,"335.03","247.5",4.44,66.1385714285714,110.64
"70",2019-04-01,"323.75","247.5",5.3,71.2333333333333,111.3
"71",2019-05-01,"313.39999999999998","247.5",6.2,71.3177272727273,111.48
"72",2019-06-01,"314.88","247.5",6,64.2205,110.42
"73",2019-07-01,"307.5","263.5",6.95,63.9191304347826,110.06
"74",2019-08-01,"292.89999999999998","262.5",6.16,59.0418181818182,114.24
"75",2019-09-01,"285.75","237.75",6.21,62.8266666666667,113.39
"76",2019-10-01,"277.38","237",5.76,59.7130434782609,113.47
"77",2019-11-01,"248","224.5",6.55,63.2119047619048,114.78
"78",2019-12-01,"238.16","217.5",6.82,67.2171428571429,114.21
"79",2020-01-01,"264.89999999999998","215.4",6.87,63.6454545454545,114.14
"80",2020-02-01,"279.38","214.38",6.7,55.657,115.55
"81",2020-03-01,"276.22000000000003","231.13",6.74,32.0113636363636,121.06
"82",2020-04-01,"282","235",5.83,18.3785,120.18
"83",2020-05-01,"263","201.9",4.54,29.3789473684211,120.98
