"","commodity","month_Year","monthly_average"
"1","Cabbage(Local)",2013-06-01,11.1363636363636
"2","Cabbage(Local)",2013-07-01,16.2
"3","Cabbage(Local)",2013-08-01,35.7142857142857
"4","Cabbage(Local)",2013-09-01,42.36
"5","Cabbage(Local)",2013-10-01,32.1538461538462
"6","Cabbage(Local)",2013-11-01,42.304347826087
"7","Cabbage(Local)",2013-12-01,28.7083333333333
"8","Cabbage(Local)",2014-01-01,20.0208333333333
"9","Cabbage(Local)",2014-02-01,19.7608695652174
"10","Cabbage(Local)",2014-03-01,20.9318181818182
"11","Cabbage(Local)",2014-04-01,19.5652173913043
"12","Cabbage(Local)",2014-05-01,21.0869565217391
"13","Cabbage(Local)",2014-06-01,28.46
"14","Cabbage(Local)",2014-07-01,31.8225806451613
"15","Cabbage(Local)",2014-08-01,17.2
"16","Cabbage(Local)",2014-09-01,14.2678571428571
"17","Cabbage(Local)",2014-10-01,21.1428571428571
"18","Cabbage(Local)",2014-11-01,20.1833333333333
"19","Cabbage(Local)",2014-12-01,15.1
"20","Cabbage(Local)",2015-01-01,14.4107142857143
"21","Cabbage(Local)",2015-02-01,12
"22","Cabbage(Local)",2015-03-01,12.6111111111111
"23","Cabbage(Local)",2015-04-01,11.0714285714286
"24","Cabbage(Local)",2015-05-01,7.35
"25","Cabbage(Local)",2015-06-01,15.0166666666667
"26","Cabbage(Local)",2015-07-01,32.8064516129032
"27","Cabbage(Local)",2015-08-01,35.0483870967742
"28","Cabbage(Local)",2015-09-01,39.5666666666667
"29","Cabbage(Local)",2015-10-01,44.241935483871
"30","Cabbage(Local)",2015-11-01,25.5333333333333
"31","Cabbage(Local)",2015-12-01,20.6774193548387
"32","Cabbage(Local)",2016-01-01,21.5483870967742
"33","Cabbage(Local)",2016-02-01,17.9310344827586
"34","Cabbage(Local)",2016-03-01,17.6034482758621
"35","Cabbage(Local)",2016-04-01,22.8833333333333
"36","Cabbage(Local)",2016-05-01,29.4677419354839
"37","Cabbage(Local)",2016-06-01,32.6166666666667
"38","Cabbage(Local)",2016-07-01,35.7903225806452
"39","Cabbage(Local)",2016-08-01,28.4838709677419
"40","Cabbage(Local)",2016-09-01,23.3166666666667
"41","Cabbage(Local)",2016-10-01,31.0161290322581
"42","Cabbage(Local)",2016-11-01,43.0833333333333
"43","Cabbage(Local)",2016-12-01,24.8387096774194
"44","Cabbage(Local)",2017-01-01,19.4032258064516
"45","Cabbage(Local)",2017-02-01,14.1481481481481
"46","Cabbage(Local)",2017-03-01,13.6551724137931
"47","Cabbage(Local)",2017-04-01,11.6
"48","Cabbage(Local)",2017-05-01,14.65
"49","Cabbage(Local)",2017-06-01,17.1166666666667
"50","Cabbage(Local)",2017-07-01,15.3387096774194
"51","Cabbage(Local)",2017-08-01,20.9193548387097
"52","Cabbage(Local)",2017-09-01,40.8275862068966
"53","Cabbage(Local)",2017-10-01,47.4354838709677
"54","Cabbage(Local)",2017-11-01,63.75
"55","Cabbage(Local)",2017-12-01,32.7708333333333
"56","Cabbage(Local)",2018-01-01,30.0333333333333
"57","Cabbage(Local)",2018-02-01,29.875
"58","Cabbage(Local)",2018-03-01,26.2166666666667
"59","Cabbage(Local)",2018-04-01,26.7833333333333
"60","Cabbage(Local)",2018-05-01,25.1451612903226
"61","Cabbage(Local)",2018-06-01,41.85
"62","Cabbage(Local)",2018-07-01,41.6935483870968
"63","Cabbage(Local)",2018-08-01,45.8225806451613
"64","Cabbage(Local)",2018-09-01,50.4666666666667
"65","Cabbage(Local)",2018-10-01,34.6774193548387
"66","Cabbage(Local)",2018-11-01,22
"67","Cabbage(Local)",2018-12-01,12.1451612903226
"68","Cabbage(Local)",2019-01-01,10.7903225806452
"69","Cabbage(Local)",2019-02-01,10.125
"70","Cabbage(Local)",2019-03-01,11.6
"71","Cabbage(Local)",2019-04-01,11.4333333333333
"72","Cabbage(Local)",2019-05-01,15.6612903225806
"73","Cabbage(Local)",2019-06-01,28.7666666666667
"74","Cabbage(Local)",2019-07-01,29.1612903225806
"75","Cabbage(Local)",2019-08-01,34.9193548387097
"76","Cabbage(Local)",2019-09-01,44.5
"77","Cabbage(Local)",2019-10-01,48.6290322580645
"78","Cabbage(Local)",2019-11-01,69.9166666666667
"79","Cabbage(Local)",2019-12-01,42.5806451612903
"80","Cabbage(Local)",2020-01-01,40
"81","Cabbage(Local)",2020-02-01,29.3793103448276
"82","Cabbage(Local)",2020-03-01,22.2068965517241
"83","Cabbage(Local)",2020-04-01,19.1666666666667
"84","Cabbage(Local)",2020-05-01,8.82258064516129
"85","Cabbage(Local)",2020-06-01,11.0344827586207
